Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,rank,family_size,individual_fare
0.0,3.0,0.0,22.0,1.0,0.0,7.25,0.0,3.0,1.0,3.625
1.0,1.0,1.0,38.0,1.0,0.0,71.2833,1.0,3.0,1.0,35.64165
1.0,3.0,1.0,26.0,0.0,0.0,7.925,0.0,4.0,0.0,7.925
1.0,1.0,1.0,35.0,1.0,0.0,53.1,0.0,3.0,1.0,26.55
0.0,3.0,0.0,35.0,0.0,0.0,8.05,0.0,3.0,0.0,8.05
0.0,3.0,0.0,28.72,0.0,0.0,8.4583,2.0,3.0,0.0,8.4583
0.0,1.0,0.0,54.0,0.0,0.0,51.8625,0.0,3.0,0.0,51.8625
0.0,3.0,0.0,2.0,3.0,1.0,21.075,0.0,4.0,4.0,4.215
1.0,3.0,1.0,27.0,0.0,2.0,11.1333,0.0,3.0,2.0,3.7111
1.0,2.0,1.0,14.0,1.0,0.0,30.0708,1.0,3.0,1.0,15.0354
1.0,3.0,1.0,4.0,1.0,1.0,16.7,0.0,4.0,2.0,5.566666666666666
1.0,1.0,1.0,58.0,0.0,0.0,26.55,0.0,4.0,0.0,26.55
0.0,3.0,0.0,20.0,0.0,0.0,8.05,0.0,3.0,0.0,8.05
0.0,3.0,0.0,39.0,1.0,5.0,31.275,0.0,3.0,6.0,4.4678571428571425
0.0,3.0,1.0,14.0,0.0,0.0,7.8542,0.0,4.0,0.0,7.8542
1.0,2.0,1.0,55.0,0.0,0.0,16.0,0.0,3.0,0.0,16.0
0.0,3.0,0.0,2.0,4.0,1.0,29.125,2.0,4.0,5.0,4.854166666666667
1.0,2.0,0.0,32.77,0.0,0.0,13.0,0.0,3.0,0.0,13.0
0.0,3.0,1.0,31.0,1.0,0.0,18.0,0.0,3.0,1.0,9.0
1.0,3.0,1.0,33.52,0.0,0.0,7.225,1.0,3.0,0.0,7.225
0.0,2.0,0.0,35.0,0.0,0.0,26.0,0.0,3.0,0.0,26.0
1.0,2.0,0.0,34.0,0.0,0.0,13.0,0.0,3.0,0.0,13.0
1.0,3.0,1.0,15.0,0.0,0.0,8.0292,2.0,4.0,0.0,8.0292
1.0,1.0,0.0,28.0,0.0,0.0,35.5,0.0,3.0,0.0,35.5
0.0,3.0,1.0,8.0,3.0,1.0,21.075,0.0,4.0,4.0,4.215
1.0,3.0,1.0,38.0,1.0,5.0,31.3875,0.0,3.0,6.0,4.483928571428572
0.0,3.0,0.0,28.72,0.0,0.0,7.225,1.0,3.0,0.0,7.225
0.0,1.0,0.0,19.0,3.0,2.0,263.0,0.0,3.0,5.0,43.833333333333336
1.0,3.0,1.0,27.76,0.0,0.0,7.8792,2.0,4.0,0.0,7.8792
0.0,3.0,0.0,28.72,0.0,0.0,7.8958,0.0,3.0,0.0,7.8958
0.0,1.0,0.0,40.0,0.0,0.0,27.7208,1.0,1.0,0.0,27.7208
1.0,1.0,1.0,40.88,1.0,0.0,146.5208,1.0,3.0,1.0,73.2604
1.0,3.0,1.0,27.76,0.0,0.0,7.75,2.0,4.0,0.0,7.75
0.0,2.0,0.0,66.0,0.0,0.0,10.5,0.0,3.0,0.0,10.5
